title,abstract,year
the computational complexity of relu network training parameterized by data dimensionality,"understanding the computational complexity of training simple neural networks with rectified linear units (relus) has recently been a subject of intensive research. closing gaps and complementing results from the literature, we present several results on the parameterized complexity of training two-layer relu networks with respect to various loss functions. after a brief discussion of other parameters, we focus on analyzing the influence of the dimension d of the training data on the computational complexity. we provide running time lower bounds in terms of w[1]-hardness for parameter d and prove that known brute-force strategies are essentially optimal (assuming the exponential time hypothesis). in comparison with previous work, our results hold for a broad(er) range of loss functions, including lp-loss for all p ∈ [0, ∞]. in particular, we improve a known polynomial-time algorithm for constant d and convex loss functions to a more general class of loss functions, matching our running time lower bounds also in these cases.",2022
synthesis and properties of optimally value-aligned normative systems,"the value alignment problem is concerned with the design of systems that provably abide by our human values. one approach to this challenge is through the leverage of prescriptive norms that, if carefully designed, are able to steer a multiagent system away from harmful outcomes and towards more beneficial ones. in this work, we first present a general methodology for the automated synthesis of value aligned normative systems, based on a consequentialist view of values. in the second part, we provide analytical tools to examine such value aligned normative systems, namely the shapley value of individual norms and the compatibility of several values under a fixed set of norms. we illustrate all of our contributions with a running example of a society of agents where taxes are collected and redistributed according to a set of parametrised norms.",2022
c-face: using compare face on face hallucination for low-resolution face recognition,"face hallucination is a task of generating high-resolution (hr) face images from low-resolution (lr) inputs, which is a subfield of the general image super-resolution. however, most of the previous methods only consider the visual effect, ignoring how to maintain the identity of the face. in this work, we propose a novel face hallucination model, called c-face network, which can generate hr images with high visual quality while preserving the identity information. a face recognition network is used to extract the identity features in the training process. in order to make the reconstructed face images keep the identity information to a great extent, a novel metric, i.e., c-face loss, is proposed. we also propose a new training algorithm to deal with the convergence problem. moreover, since our work mainly focuses on the recognition accuracy of the output, we integrate face recognition into the face hallucination process which ensures that the model can be used in real scenarios. extensive experiments on two large scale face datasets demonstrate that our c-face network has the best performance compared with other state-of-the-art methods.",2022
threshold treewidth and hypertree width,"treewidth and hypertree width have proven to be highly successful structural parameters in the context of the constraint satisfaction problem (csp). when either of these parameters is bounded by a constant, then csp becomes solvable in polynomial time. however, here the order of the polynomial in the running time depends on the width, and this is known to be unavoidable; therefore, the problem is not fixed-parameter tractable parameterized by either of these width measures. here we introduce an enhancement of tree and hypertree width through a novel notion of thresholds, allowing the associated decompositions to take into account information about the computational costs associated with solving the given csp instance. aside from introducing these notions, we obtain efficient theoretical as well as empirical algorithms for computing threshold treewidth and hypertree width and show that these parameters give rise to fixed-parameter algorithms for csp as well as other, more general problems. we complement our theoretical results with experimental evaluations in terms of heuristics as well as exact methods based on sat/smt encodings.",2022
classical planning in deep latent space,"current domain-independent, classical planners require symbolic models of the problem domain and instance as input, resulting in a knowledge acquisition bottleneck. meanwhile, although deep learning has achieved significant success in many fields, the knowledge is encoded in a subsymbolic representation which is incompatible with symbolic systems such as planners. we propose latplan, an unsupervised architecture combining deep learning and classical planning. given only an unlabeled set of image pairs showing a subset of transitions allowed in the environment (training inputs), latplan learns a complete propositional pddl action model of the environment. later, when a pair of images representing the initial and the goal states (planning inputs) is given, latplan finds a plan to the goal state in a symbolic latent space and returns a visualized plan execution. we evaluate latplan using image-based versions of 6 planning domains: 8-puzzle, 15-puzzle, blocksworld, sokoban and two variations of lightsout.",2022
joint optimization of concave scalarized multi-objective reinforcement learning with policy gradient based algorithm,"many engineering problems have multiple objectives, and the overall aim is to optimize a non-linear function of these objectives. in this paper, we formulate the problem of maximizing a non-linear concave function of multiple long-term objectives. a policy-gradient based model-free algorithm is proposed for the problem. to compute an estimate of the gradient, an asymptotically biased estimator is proposed. the proposed algorithm is shown to achieve convergence to within an ε of the global optima after sampling o(m4 σ2/(1-γ)8ε4) trajectories where γ is the discount factor and m is the number of the agents, thus achieving the same dependence on ε as the policy gradient algorithm for the standard reinforcement learning.",2022
better decision heuristics in cdcl through local search and target phases,"on practical applications, state-of-the-art sat solvers dominantly use the conflict-driven clause learning (cdcl) paradigm. an alternative for satisfiable instances is local search solvers, which is more successful on random and hard combinatorial instances. although there have been attempts to combine these methods in one framework, a tight integration which improves the state of the art on a broad set of application instances has been missing. we present a combination of techniques that achieves such an improvement. our first contribution is to maximize in a local search fashion the assignment trail in cdcl, by sticking to and extending promising assignments via a technique called target phases. second, we relax the cdcl framework by again extending promising branches to complete assignments while ignoring conflicts. these assignments are then used as starting point of local search which tries to find improved assignments with fewer unsatisfied clauses. third, these improved assignments are imported back to the cdcl loop where they are used to determine the value assigned to decision variables. finally, the conflict frequency of variables in local search can be exploited during variable selection in branching heuristics of cdcl. we implemented these techniques to improve three representative cdcl solvers (glucose, maplelcm distchronobt, and kissat). experiments on benchmarks from the main tracks of the last three sat competitions from 2019 to 2021 and an additional benchmark set from spectrum allocation show that the techniques bring significant improvements, particularly and not surprisingly, on satisfiable real-world application instances. we claim that these techniques were essential to the large increase in performance witnessed in the sat competition 2020 where kissat and relaxed lcmdcbdl newtech were leading the field followed by cryptominisat-ccnr, which also incorporated similar ideas.",2022
improving simulated annealing for clique partitioning problems,"the clique partitioning problem (cpp) is essential in graph theory with a number of important applications. due to its np-hardness, efficient algorithms for solving this problem are very crucial for practical purposes, and simulated annealing is proved to be effective in state-of-the-art cpp algorithms. however, to make simulated annealing more efficient to solve large-scale cpps, in this paper, we propose a new iterated simulated annealing algorithm. several methods are proposed in our algorithm to improve simulated annealing. first, a new configuration checking strategy based on timestamp is presented and incorporated into simulated annealing to avoid search cycles. afterwards, to enhance the local search ability of simulated annealing and speed up convergence, we combine our simulated annealing with a descent search method to solve the cpp. this method further improves solutions found by simulated annealing, and thus compensates for the local search effect. to further accelerate the convergence speed, we introduce a shrinking factor to decline initial temperature and then propose an iterated local search algorithm based on simulated annealing. additionally, a restart strategy is adopted when the search procedure converges. extensive experiments on benchmark instances of the cpp were carried out, and the results suggest that the proposed simulated annealing algorithm outperforms all the existing heuristic algorithms, including five state-of-the-art algorithms. thus the best-known solutions for 34 instances out of 94 are updated. we also conduct comparative analyses of the proposed strategies and show their effectiveness.",2022
metric-distortion bounds under limited information,"in this work, we study the metric distortion problem in voting theory under a limited amount of ordinal information. our primary contribution is threefold. first, we consider mechanisms that perform a sequence of pairwise comparisons between candidates. we show that a popular deterministic mechanism employed in many knockout phases yields distortion o(log m) while eliciting only m − 1 out of the θ(m2 ) possible pairwise comparisons, where m represents the number of candidates. our analysis for this mechanism leverages a powerful technical lemma developed by kempe (aaai ‘20). we also provide a matching lower bound on its distortion. in contrast, we prove that any mechanism which performs fewer than m−1 pairwise comparisons is destined to have unbounded distortion. moreover, we study the power of deterministic mechanisms under incomplete rankings. most notably, when agents provide their k-top preferences we show an upper bound of 6m/k + 1 on the distortion, for any k ∈ {1, 2, . . . , m}. thus, we substantially improve over the previous bound of 12m/k established by kempe (aaai ‘20), and we come closer to matching the best-known lower bound. finally, we are concerned with the sample complexity required to ensure near-optimal distortion with high probability. our main contribution is to show that a random sample of θ(m/ϵ2 ) voters suffices to guarantee distortion 3 + ϵ with high probability, for any sufficiently small ϵ &gt; 0. this result is based on analyzing the sensitivity of the deterministic mechanism introduced by gkatzelis, halpern, and shah (focs ‘20). importantly, all of our sample-complexity bounds are distribution-independent. from an experimental standpoint, we present several empirical findings on real-life voting applications, comparing the scoring systems employed in practice with a mechanism explicitly minimizing (metric) distortion. interestingly, for our case studies, we find that the winner in the actual competition is typically the candidate who minimizes the distortion.",2022
recursion in abstract argumentation is hard --- on the complexity of semantics based on weak admissibility,"we study the computational complexity of abstract argumentation semantics based on weak admissibility, a recently introduced concept to deal with arguments of self-defeating nature. our results reveal that semantics based on weak admissibility are of much higher complexity (under typical assumptions) compared to all argumentation semantics which have been analysed in terms of complexity so far. in fact, we show pspace-completeness of all non-trivial standard decision problems for weak-admissible based semantics. we then investigate potential tractable fragments and show that restricting the frameworks under consideration to certain graph-classes significantly reduces the complexity. we also show that weak-admissibility based extensions can be computed by dividing the given graph into its strongly connected components (sccs). this technique ensures that the bottleneck when computing extensions is the size of the largest scc instead of the size of the graph itself and therefore contributes to the search for fixed-parameter tractable implementations for reasoning with weak admissibility.",2022
